Molecule,QikProp_.stars,QikProp_.amine,QikProp_.acid,QikProp_.amide,QikProp_.rotor,QikProp_.rtvFG,QikProp_CNS,QikProp_mol_MW,QikProp_dipole,QikProp_SASA,QikProp_FOSA,QikProp_FISA,QikProp_PISA,QikProp_WPSA,QikProp_volume,QikProp_donorHB,QikProp_accptHB,QikProp_dip.2.V,QikProp_ACxDN..5.SA,QikProp_glob,QikProp_QPpolrz,QikProp_QPlogPC16,QikProp_QPlogPoct,QikProp_QPlogPw,QikProp_QPlogPo.w,QikProp_QPlogS,QikProp_CIQPlogS,QikProp_QPlogHERG,QikProp_QPPCaco,QikProp_QPlogBB,QikProp_QPPMDCK,QikProp_QPlogKp,QikProp_IP.eV.,QikProp_EA.eV.,QikProp_.metab,QikProp_QPlogKhsa,QikProp_HumanOralAbsorption,QikProp_PercentHumanOralAbsorption,QikProp_SAfluorine,QikProp_SAamideO,QikProp_PSA,QikProp_.NandO,QikProp_RuleOfFive,QikProp_.ringatoms,QikProp_.in56,QikProp_.noncon,QikProp_.nonHatm,QikProp_RuleOfThree,QikProp_ACxDN..5.SAxSASA.MW
methyl4-chlorobenzoate(benzoic,3,0,0,0,1,1,1,170.595,1.937,373.43,95.85,52.277,153.66,71.643,576.795,0,2,0.006505,0,0.8973667,17.755,5.445,6.594,3.793,2.14,-1.976,-2.128,-3.926,3163.409,0.246,4240.52,-1.846,9.784,0.703,0,-0.285,3,100,0,0,35.141,2,0,6,6,0,11,0,0
ethyleneglycol,9,0,0,0,3,0,-1,62.068,2.703,227.548,119.103,108.445,0,0,303.065,2,3.4,0.0241031,0.021131,0.9589217,4.048,2.237,5.441,6.621,-1.355,0.495,-0.303,-2.197,927.931,-0.404,456.287,-3.23,10.937,-3.009,2,-0.992,2,72.124,0,0,45.808,2,0,0,0,0,4,0,0.0774685
benzene,13,0,0,0,0,0,1,78.113,0,264.196,0,0,264.196,0,376.818,0,0,0,0,0.9549787,11.449,3.732,2.926,1.136,2.129,-1.641,-1.671,-3.52,9906.038,0.192,5899.293,-0.589,9.818,-0.415,0,-0.288,3,100,0,0,0,0,0,6,6,0,6,0,0
di-n-hexylamine(1-hexanaminen-hexyl),3,1,0,0,10,0,1,185.352,1.132,553.964,539.041,14.922,0,0,899.516,1,1.5,0.0014248,0.0027078,0.8134973,23.424,6.723,8.402,1.89,3.623,-2.951,-1.258,-5.276,1783.57,0.209,1022.927,-2.897,9.287,-2.753,1,0.336,3,100,0,0,13.812,1,0,0,0,0,13,0,0.00809284
4-bromoaniline,3,0,0,0,1,0,1,172.024,4.412,308.779,0,61.647,170.085,77.048,459.045,1.5,1,0.0423989,0.0039664,0.9320099,13.199,5.059,7.3,5.027,1.833,-1.625,-2.487,-3.443,2578.137,0.219,3639.062,-1.96,8.329,-0.107,1,-0.465,3,100,0,0,26.35,1,0,6,6,0,8,0,0.00711959
glyoxal,13,0,0,0,1,2,-1,58.037,0,211.321,44.46,166.861,0,0,276.554,0,4,0,0,0.9714252,4.272,2.033,2.985,5.082,-2.004,2,1.55,-1.994,259.155,-0.676,114.942,-4.499,10.683,0.737,0,-1.692,2,58.413,0,0,75.43,2,0,0,0,0,4,0,0
4-octylaniline,2,0,0,0,8,0,0,205.342,2.227,535.285,324.309,61.641,149.335,0,881.398,1.5,1,0.0056285,0.002288,0.8305413,25.409,8.087,10.207,3.86,3.958,-4.161,-3.167,-4.986,2578.44,-0.514,1377.141,-1.361,8.045,-0.63,2,0.391,3,100,0,0,26.347,1,0,6,6,0,15,0,0.00596435
p-dichlorobenzene,8,0,0,0,0,0,1,147.004,0.004,312.545,0,0,169.113,143.432,465.551,0,0,0,0,0.929461,14.092,4.789,4.361,1.672,3.009,-2.655,-3.224,-3.48,9906.038,0.192,10000,-0.924,9.428,0.234,0,-0.031,3,100,0,0,0,0,0,6,6,0,8,0,0
24-dichlorobenzaldehyde,3,0,0,0,1,0,1,175.014,1.563,341.543,12.224,73.286,123.024,133.009,526.004,0,2,0.0046422,0,0.9226695,15.429,5.508,6.163,3.672,2.034,-1.575,-2.222,-3.37,1999.545,0.256,5600.72,-2.341,9.827,0.97,0,-0.432,3,100,0,0,35.806,1,0,6,6,0,10,0,0
dimethyl,1,0,0,0,2,2,0,194.187,3.93,425.923,190.201,74.186,161.535,0,676.784,0,4,0.0228188,0,0.8752534,21.189,6.04,8.788,5.846,1.438,-1.868,-1.701,-4.321,1960.617,-0.203,1024.217,-2.126,10.27,0.727,0,-0.572,3,94.294,0,0,61.163,4,0,6,6,0,14,0,0
2-methoxyethylamine(ethanamine2-methoxy),8,1,0,0,3,0,1,75.11,2.473,264.226,202.338,61.888,0,0,371.966,2,2.7,0.0164376,0.0144512,0.946653,6.806,2.594,5.659,5.703,-0.688,1.256,0.797,-3.121,639.61,0.321,337.635,-4.435,9.339,-2.502,3,-0.895,2,73.14,0,0,35.524,2,0,0,0,0,5,0,0.0508372
34-xylenol(34-dimethylphenol),4,0,0,0,1,0,1,122.166,2.203,331.96,151.341,54.439,126.181,0,506.596,1,0.75,0.0095797,0.0022593,0.9258063,14.683,4.506,6.005,3.729,2.223,-1.457,-1.624,-3.334,3017.558,0.08,1632.304,-1.982,8.949,-0.366,3,-0.241,3,100,0,0,22.469,1,0,6,6,0,9,0,0.00613916
diethylsuccinate,4,0,0,0,5,2,0,174.196,0.012,463.554,368.876,94.678,0,0,711.771,0,4,2e-7,0,0.8316836,19.121,5.127,7.379,4.316,1.335,-2.093,-0.917,-4.256,1253.335,-0.65,631.465,-2.784,11.233,-1.032,2,-0.598,3,90.214,0,0,71.651,4,0,0,0,0,12,0,0
111-trichloroethane,12,0,0,0,0,0,1,133.405,2.475,270.544,80.294,0,0,190.25,386.517,0,0,0.015848,0,0.9485059,9.314,3.242,2.902,0.437,2.489,-1.956,-1.84,-2.365,9906.038,0.353,10000,-1.52,10.829,0.343,0,-0.26,3,100,0,0,0,0,0,0,0,0,5,0,0
24-xylenol(24-dimethylphenol),4,0,0,0,1,0,1,122.166,2.041,336.037,170.314,44.837,120.887,0,513.069,1,0.75,0.0081185,0.0022319,0.9223483,14.891,4.435,5.996,3.638,2.225,-1.453,-1.624,-3.365,3721.472,0.152,2047.506,-1.824,8.932,-0.346,3,-0.224,3,100,0,0,20.356,1,0,6,6,0,9,0,0.0061392
2-allylphenol,3,0,0,0,3,0,1,134.177,1.859,353.531,103.831,39.852,209.847,0,551.851,1,0.75,0.0062623,0.0021215,0.9203481,16.009,5.432,6.411,3.81,2.228,-1.291,-1.865,-3.822,4149.352,0.069,2303.104,-1.227,9.147,-0.284,2,-0.201,3,100,0,0,20.472,1,0,6,6,0,10,0,0.00558975
trioxane(s-trioxane),13,0,0,0,0,3,-2,90.079,2.9,192.996,192.996,0,0,0,293.288,0,5.1,0.0286671,0,1.1061476,5.583,3.095,3.763,5.207,-1.879,2,2,0.186,9906.038,-1.753,5899.293,-1.52,10.833,-2.261,0,-1.895,3,87.465,0,0,28.257,3,0,6,6,3,6,0,0
n-hexanoic,7,0,1,0,4,0,-1,116.16,2.104,343.607,236.911,106.696,0,0,519.198,1,2,0.0085249,0.0058206,0.9091987,12.056,3.947,5.669,3.824,1.414,-0.841,-0.828,-1.194,244.175,-0.538,137.077,-3.102,11.326,-1.045,1,-0.673,3,77.962,0,0,50.468,2,0,0,0,0,8,0,0.0172176
ethylacetate,9,0,0,0,1,1,1,88.106,2.649,301.887,241.732,60.155,0,0,426.593,0,2,0.016447,0,0.9078119,10.276,2.305,3.578,2.604,0.73,-0.049,-0.016,-3.024,2663.477,0.017,1426.297,-2.532,11.16,-1.172,0,-0.721,3,92.529,0,0,38.408,2,0,0,0,0,6,0,0
2-(disopropylamino)ethanol(ethanol2(bis(1-methylethyl)amino),3,1,0,0,5,0,1,145.244,1.895,356.014,310.159,45.855,0,0,595.842,1,3.7,0.0060243,0.0103928,0.9618745,14.481,4.891,7.17,4.894,0.697,0.37,0.188,-2.875,907.721,0.33,492.926,-3.947,8.928,-2.745,2,-0.588,3,83.97,0,0,26.326,2,0,0,0,0,10,0,0.0254743
24-dimethoxybenzaldehyde,1,0,0,0,3,0,0,166.176,4.501,355.266,177.949,74.708,102.609,0,571.896,0,3.5,0.0354319,0,0.9378993,15.787,5.09,6.797,4.566,0.999,-0.922,-1.338,-3.026,1938.421,-0.184,1011.69,-2.247,9.232,0.325,2,-0.785,3,91.636,0,0,51.614,3,0,6,6,0,12,0,0
acetoneoxime-acetoxime,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-hydroxy-5-bromobenzaldehyde,3,0,0,0,2,0,-1,201.019,2.939,336.575,15.039,119.088,125.455,76.993,515.238,0,1.75,0.0167686,0,0.9234678,14.38,5.343,5.748,3.502,1.545,-1.667,-2.89,-3.369,735.515,-0.299,937.387,-3.08,9.617,0.826,1,-0.439,3,87.299,0,0,56.57,2,0,6,6,0,10,0,0
123-trichlorobenzene,7,0,0,0,0,0,1,181.449,3.76,328.416,0,0,142.472,185.943,500.746,0,0,0.0282388,0,0.9285808,15.246,5.287,5.317,1.544,2.856,-3.058,-3.813,-3.367,9906.038,0.192,10000,-1.018,9.592,0.341,0,0.072,3,100,0,0,0,0,0,6,6,0,9,0,0
2-pyridinecarbonitrile,6,0,0,0,1,0,0,104.111,6.459,295.197,0,94.746,200.451,0,428.149,0,2.5,0.0974475,0,0.9306432,12.253,4.25,6.183,4.679,0.004,-1.279,-1.484,-3.61,1251.486,-0.226,630.458,-2.464,10.514,0.845,1,-0.85,3,82.406,0,0,37.69,2,0,6,6,0,8,0,0
33-dimethyl-2-butanone-(pinacolone),10,0,0,0,1,0,1,100.16,3.685,302.932,264.324,38.607,0,0,471.496,0,2,0.0288037,0,0.9671026,12.073,3.369,4.361,2.46,0.919,-0.366,-0.272,-2.064,4263.685,0.228,2371.773,-2.135,10.529,-0.901,0,-0.591,3,100,0,0,24.588,1,0,0,0,0,7,0,0
isoprene,11,0,0,0,1,0,2,68.118,0.374,271.293,183.132,0,88.161,0,388.745,0,0,3.597e-4,0,0.9495173,9.603,2.562,1.956,-0.751,2.005,-2.51,-1.863,-2.769,9906.038,0.559,5899.293,-1.113,9.361,-0.326,1,-0.296,3,100,0,0,0,0,0,0,0,0,5,0,0
4-methoxyphenol(mequinol),7,0,0,0,2,0,1,124.139,0.174,301.36,79.819,54.424,167.118,0,459.906,1,1.5,6.6e-5,0.0049774,0.9561495,12.563,4.626,5.621,4.452,1.18,-0.805,-1.463,-3.039,3018.571,0.046,1632.896,-1.742,8.709,-0.213,2,-0.502,3,96.135,0,0,30.89,2,0,6,6,0,9,0,0.0120831
124-trimethyl,7,0,0,0,0,0,2,120.194,0.479,351.237,239.291,0,111.946,0,543.037,0,0,4.221e-4,0,0.9164704,16.647,4.097,4.432,0.526,3.285,-3.19,-3.469,-3.417,9906.038,0.671,5899.293,-1.125,9.207,-0.464,3,0.194,3,100,0,0,0,0,0,6,6,0,9,0,0
1-naphthalenol(1-naphthol),2,0,0,0,1,0,1,144.173,1.855,341.256,0,46.029,295.227,0,531.772,1,0.75,0.0064742,0.0021978,0.9301822,17.305,5.963,7.121,4.844,2.7,-2.232,-2.308,-4.07,3625.825,0.149,1990.685,-1.232,8.598,0.494,1,-0.171,3,100,0,0,20.903,1,0,10,10,0,11,0,0.00520217
sec-butylamine,10,1,0,0,2,0,2,73.138,1.384,275.412,227.518,47.894,0,0,398.79,2,1,0.0048,0.0051349,0.9513618,8.521,2.874,5.149,4.181,0.095,1.393,0.824,-3.045,868.201,0.489,469.77,-4.273,9.37,-3.047,2,-0.724,3,80.099,0,0,24.404,1,0,0,0,0,5,0,0.0193362
22-dimethyl,10,1,0,0,2,0,2,87.164,1.56,292.375,243.335,49.04,0,0,442.301,2,1,0.0055031,0.004837,0.9602177,10.263,3.491,5.784,4.229,0.415,0.9,0.602,-2.902,846.743,0.487,457.233,-4.294,9.337,-3.095,2,-0.61,3,81.779,0,0,23.439,1,0,0,0,0,6,0,0.0162248
1-cyano-2-methylbenzene(o-tolunitrile),5,0,0,0,1,0,0,117.15,5.296,326.572,77.226,64.757,184.589,0,492.899,0,1.5,0.0569036,0,0.9240411,14.693,4.591,5.751,3.458,1.8,-1.927,-2.225,-3.641,2408.847,-0.002,1279.501,-1.967,9.975,0.497,1,-0.395,3,100,0,0,25.323,1,0,6,6,0,9,0,0
34-dichloroaniline,2,0,0,0,1,0,1,162.018,6.006,324.252,0,61.642,133.866,128.744,490.686,1.5,1,0.0735121,0.0037771,0.9278657,14.12,5.478,8.238,4.836,2.617,-1.743,-2.286,-3.338,2578.396,0.342,6985.982,-2.088,8.36,-0.088,1,-0.381,3,100,0,0,26.35,1,0,6,6,0,9,0,0.00755924
n-pentylamine-(n-amilamine),9,1,0,0,3,0,1,73.138,1.496,283.698,219.581,64.117,0,0,407.112,2,1,0.0054969,0.0049849,0.9363784,8.212,2.898,5.074,4.09,0.092,1.203,0.824,-3.288,609.225,0.294,320.332,-4.476,9.403,-3.022,2,-0.749,3,77.328,0,0,27.225,1,0,0,0,0,5,0,0.0193361
4-methyl-2-pentanone-(methyl-isobutyl-ketone),7,0,0,0,2,1,1,100.16,3.401,321.142,285.658,35.484,0,0,486.09,0,2,0.0238004,0,0.930991,12.015,3.085,4.164,2.262,1.287,-0.822,-0.272,-2.649,4564.643,0.17,2553.235,-1.981,10.559,-0.856,1,-0.591,3,100,0,0,24.26,1,0,0,0,0,7,0,0
pentachloroethane,10,0,0,0,0,0,1,202.295,1.755,307.519,20.583,0,0,286.936,462.781,0,0,0.0066583,0,0.9409001,12.367,4.711,4.305,0.56,2.803,-2.393,-2.633,-2.488,9906.038,0.233,10000,-1.52,10.835,0.633,0,-0.039,3,100,0,0,0,0,0,0,0,0,7,0,0
4-ethylaniline,3,0,0,0,2,0,0,121.182,2.17,340.989,130.008,61.64,149.341,0,522.699,1.5,1,0.0090128,0.0035917,0.9202928,14.906,4.952,6.967,4.716,1.797,-1.146,-1.481,-3.534,2578.493,-0.042,1377.171,-1.937,8.035,-0.641,2,-0.339,3,100,0,0,26.346,1,0,6,6,0,9,0,0.0101065
p-tert-butylphenol(butylphen),3,0,0,0,2,0,1,150.22,1.673,373.361,191.102,54.438,127.821,0,601.684,1,0.75,0.0046519,0.0020088,0.9231693,17.862,5.516,7.019,3.62,3.286,-2.4,-2.191,-3.385,3017.61,0.017,1632.334,-1.88,9.051,-0.365,1,-0.019,3,100,0,0,22.469,1,0,6,6,0,11,0,0.00499273
33-dimethylbutylamine,7,1,0,0,3,0,1,101.191,1.328,319.461,255.345,64.116,0,0,492.826,2,1,0.0035772,0.0044269,0.9445158,11.643,3.97,6.256,4.176,0.649,0.321,0.359,-3.156,609.24,0.302,320.34,-4.476,9.364,-3.036,2,-0.524,3,80.589,0,0,27.224,1,0,0,0,0,7,0,0.0139758
p-chloro-m-cresol(chlorocresol),4,0,0,0,1,0,1,142.585,2.428,326.387,78.449,54.437,131.796,61.704,495.482,1,0.75,0.0118978,0.0022979,0.9277929,14.292,4.879,6.219,3.776,2.153,-0.981,-2.036,-3.329,3017.66,0.233,3554.952,-1.962,9.07,-0.093,2,-0.272,3,100,0,0,22.47,1,0,6,6,0,9,0,0.00526005
m-diethylbenzene(13-diethylbenzene),6,0,0,0,2,0,2,134.221,0.313,386.141,260.081,0,126.06,0,609.215,0,0,1.609e-4,0,0.9000486,18.146,4.754,4.878,0.069,3.86,-4.056,-4.157,-3.75,9906.038,0.713,5899.293,-0.883,9.49,-0.431,2,0.302,3,100,0,0,0,0,0,6,6,0,10,0,0
o-phenylphenol,1,0,0,0,2,0,1,170.21,1.906,392.815,0,38.943,353.872,0,627.428,1,0.75,0.0057884,0.0019093,0.9023038,21.051,7.076,8.4,5.099,3.178,-3.032,-2.961,-4.8,4232.541,0.124,2353.053,-0.799,9.038,0.248,1,0.052,3,100,0,0,19.224,1,0,12,12,0,13,0,0.00440633
3-methylpyridine,8,0,0,0,0,0,1,93.128,2.109,288.341,88.116,26.147,174.078,0,422.141,0,1.5,0.0105323,0,0.9438363,12.403,3.671,4.176,3.252,0.665,-0.12,-0.714,-3.271,5596.912,0.368,3182.686,-1.388,9.928,-0.043,3,-0.558,3,100,0,0,12.17,1,0,6,6,0,7,0,0
o-chloroaniline,5,0,0,0,1,0,1,127.573,2.44,301.167,0,54.555,180.393,66.219,447.438,1.5,1,0.0133031,0.0040667,0.93939,12.833,4.96,6.713,5.026,1.813,-1.561,-1.604,-3.373,3009.901,0.254,3752.789,-1.793,8.257,-0.303,2,-0.494,3,100,0,0,25.104,1,0,6,6,0,8,0,0.00960043
phenyl,0,0,0,0,3,1,0,214.22,3.057,450.673,0,70.036,380.637,0,727.82,0,2.25,0.0128392,0,0.868267,24.682,8.044,9.218,5.424,2.909,-3.091,-3.298,-5.479,2146.588,-0.237,1129.617,-1.181,9.39,0.587,1,0.002,3,100,0,0,51.531,3,0,12,12,0,16,0,0
24'-dichloroacetophenone,2,0,0,0,1,0,2,189.041,3.918,373.999,42.464,42.91,145.426,143.198,583.835,0,2,0.0262891,0,0.9032782,17.958,5.959,7.244,3.7,2.768,-2.753,-2.519,-3.791,3881.324,0.504,10000,-1.702,9.859,0.904,1,-0.265,3,100,0,0,26.546,1,0,6,6,0,11,0,0
14-dichlorobutane(butane1-4-dichloro),12,0,0,0,1,0,2,127.013,0,317.805,169.947,0,0,147.858,467.961,0,0,0,0,0.9172289,11.932,3.516,3.298,0.315,2.815,-2.715,-2.687,-2.871,9906.038,0.532,10000,-1.423,10.552,-0.832,0,-0.066,3,100,0,0,0,0,0,0,0,0,6,0,0
pentachlorophenol,3,0,0,0,1,0,2,266.338,1.999,375.745,0,41.285,43.133,291.327,597.35,1,0.75,0.0066921,0.001996,0.9129032,17.522,6.735,8.184,3.282,3.564,-3.104,-4.604,-3.147,4021.597,0.888,10000,-2.032,9.373,0.816,1,0.011,3,100,0,0,20.495,1,0,6,6,0,12,0,0.00281592
3-methyl-3-pentanol,10,0,0,0,3,0,1,102.176,2.058,312.383,281.765,30.618,0,0,483.111,1,0.75,0.0087673,0.0024009,0.953182,11.254,3.501,4.45,2.221,1.571,-1.051,-0.869,-2.29,5076.358,0.158,2863.97,-1.796,11.091,-3.217,1,-0.388,3,100,0,0,18.735,1,0,0,0,0,7,0,0.00734028
2346-tetrachlorophenol,5,0,0,0,1,0,2,231.893,0.695,359.963,0,41.292,69.76,248.911,562.26,1,0.75,8.602e-4,0.0020835,0.9152342,16.372,6.27,7.537,3.411,3.515,-2.765,-3.883,-3.236,4020.926,0.785,10000,-1.939,9.3,0.644,1,-0.087,3,100,0,0,20.498,1,0,6,6,0,11,0,0.00323418
124-trichlorobenzene,7,0,0,0,0,0,1,181.449,1.87,332.572,0,0,132.037,200.535,505.336,0,0,0.0069231,0,0.9225703,15.33,5.301,5.099,1.488,2.914,-3.133,-3.907,-3.415,9906.038,0.192,10000,-1.054,9.465,0.435,0,0.085,3,100,0,0,0,0,0,6,6,0,9,0,0
2-butyne-14-diol,8,0,0,0,4,0,-1,86.09,0,285.44,133.803,121.322,30.316,0,392.44,2,3.4,0,0.0168453,0.9081659,7.273,2.993,6.225,6.833,-0.386,0.672,-0.283,-3.163,700.491,-0.658,336.704,-3.265,10.354,-1.591,2,-0.961,3,75.61,0,0,47.044,2,0,0,0,0,6,0,0.0558523
246-trichloroaniline,2,0,0,0,1,0,2,196.463,2.838,346.442,0,47.462,94.898,204.082,532.668,1.5,1,0.0151257,0.0035352,0.9172864,15.428,5.986,8.116,4.554,3.413,-1.968,-2.985,-3.323,3514.122,0.628,10000,-1.964,8.448,0.184,1,-0.27,3,100,0,0,23.859,1,0,6,6,0,10,0,0.00623396
n-pentanol(1-pentanol),9,0,0,0,4,0,0,88.149,1.999,312.36,255.377,56.982,0,0,459.552,1,1.7,0.0086961,0.0054424,0.9220053,9.669,3.06,4.454,3.115,1.507,-0.621,-0.424,-2.794,2854.552,-0.124,1537.208,-2.186,10.928,-3.039,1,-0.621,3,100,0,0,23.242,1,0,0,0,0,6,0,0.0192854
methyl,2,0,0,0,2,1,0,161.16,4.275,386.539,95.851,123.745,166.943,0,596.695,0,3.5,0.0306287,0,0.88676,18.036,5.658,7.798,5.633,0.75,-2.344,-2.232,-4.16,664.388,-0.606,317.987,-3.02,10.386,1.185,0,-0.671,3,81.852,0,0,60.772,3,0,6,6,0,12,0,0
2-dimethylaminopyridine(2-pyridinamidenn-dimethyl-),4,0,0,0,1,0,1,122.169,1.618,337.514,154.967,11.393,171.154,0,515.126,0,1.5,0.0050852,0,0.9207658,15.454,4.332,5.014,3.03,2.258,-1.878,-1.331,-3.63,7724.379,0.414,4508.431,-1.031,8.191,-0.346,2,-0.33,3,100,0,0,12.223,2,0,6,6,0,9,0,0
acetic,10,0,1,0,0,0,-1,60.052,2.313,215.952,96.267,119.685,0,0,282.75,1,2,0.0189146,0.0092613,0.9647363,5.162,1.911,3.72,4.487,-0.17,1.18,-0.032,-0.295,183.875,-0.294,100.885,-3.725,11.377,-1.022,0,-1.04,2,66.481,0,0,53.05,2,0,0,0,0,4,0,0.0333044
3-(trifluoromethyl)benzonitrile(alphaalphaalpha-trifluoro-m-toluonitrile),4,0,0,0,1,0,1,171.122,4.622,354.941,0.839,71.555,162.126,120.421,542.054,0,1.5,0.0394106,0,0.9058098,16.445,4.055,6.686,3.462,2.536,-2.944,-3.371,-3.829,2076.564,0.217,4977.725,-2.171,10.628,1.08,1,-0.252,3,100,120.421,0,25.658,1,0,6,6,0,12,0,0
hexyleneglycol,5,0,0,0,4,0,0,118.175,2.85,330.698,262.412,68.285,0,0,510.994,2,2.45,0.0158971,0.0104773,0.934712,11.728,4.088,7.208,5.439,0.675,-0.794,-0.753,-2.588,2230.229,-0.199,1177.266,-2.394,10.8,-3.164,2,-0.639,3,90.826,0,0,38.345,2,0,0,0,0,8,0,0.0293194
34-dichlorotoluene,5,0,0,0,0,0,1,161.03,3.936,339.919,87.865,0,123.216,128.838,519.984,0,0,0.0297946,0,0.9199903,15.832,4.868,5.213,1.42,3.126,-2.717,-3.229,-3.414,9906.038,0.368,10000,-1.085,9.362,0.141,1,0.128,3,100,0,0,0,0,0,6,6,0,9,0,0
nonylphenol,6,0,0,0,1,0,1,94.113,1.568,276.449,0,54.44,222.009,0,399.427,1,0.75,0.0061541,0.002713,0.9487997,11.309,4.233,4.977,4.248,1.458,-0.051,-1.073,-3.419,3017.502,0.1,1632.271,-1.645,9.225,-0.31,1,-0.533,3,100,0,0,22.469,1,0,6,6,0,7,0,0.00796921
n-octylamine(octylamine),5,1,0,0,7,0,1,129.245,1.51,413.334,349.218,64.116,0,0,646.3,2,1,0.0035265,0.0034215,0.8746208,15.216,4.952,7.238,3.52,1.626,-0.706,-0.162,-4.287,609.234,-0.019,320.337,-4.092,9.408,-2.997,2,-0.292,3,86.308,0,0,27.224,1,0,0,0,0,9,0,0.0109422
aniline,6,0,0,0,1,0,1,93.128,2.387,280.035,0,61.641,218.394,0,406.536,1.5,1,0.014014,0.0043735,0.9477328,11.559,4.442,6.061,5.259,0.901,-0.421,-0.96,-3.419,2578.456,0.046,1377.15,-1.79,8.119,-0.62,2,-0.599,3,93.277,0,0,26.347,1,0,6,6,0,7,0,0.0131511
o-xylene,8,0,0,0,0,0,2,106.167,0.783,319.706,151.414,0,168.292,0,484.013,0,0,0.001268,0,0.9325071,14.823,4.015,3.925,0.718,2.816,-2.471,-2.854,-3.427,9906.038,0.495,5899.293,-0.927,9.399,-0.459,2,0.023,3,100,0,0,0,0,0,6,6,0,8,0,0
naphthalene,8,0,0,0,0,0,1,128.173,0.004,332.025,0,0,332.025,0,512.839,0,0,0,0,0.9332158,17.541,5.497,5.126,2.142,3.348,-3.601,-3.64,-4.196,9906.038,0.192,5899.293,-0.35,8.84,0.449,0,0.107,3,100,0,0,0,0,0,10,10,0,10,0,0
propionitrile,10,0,0,0,1,0,0,55.079,5.065,239.519,154.255,71.352,13.912,0,320.761,0,1.5,0.0799944,0,0.946119,6.174,1.666,2.902,2.132,0.16,0.274,-0.547,-2.47,2085.804,-0.028,1095.083,-2.689,12.204,-1.611,1,-0.895,3,87.291,0,0,25.658,1,0,0,0,0,4,0,0
2-dodecanone,3,0,0,0,9,1,0,184.321,3.466,527.985,483.003,44.982,0,0,859.847,0,2,0.0139677,0,0.8282431,22.478,6.344,7.285,1.28,3.619,-3.71,-2.06,-4.311,3709.647,-0.416,2040.474,-1.484,10.66,-0.871,1,0.197,3,100,0,0,27.388,1,0,0,0,0,13,0,0
dichloromethane-(methylene,13,0,0,0,0,2,1,84.933,2.435,219.128,64.367,0,0,154.761,286.87,0,0,0.0206689,0,0.9599699,5.327,1.916,1.435,0.301,1.407,-0.936,-0.803,-2.18,9906.038,0.321,10000,-1.52,10.63,-0.255,0,-0.549,3,100,0,0,0,0,0,0,0,0,3,0,0
12-dichloropropane,11,0,0,0,0,1,2,112.986,3.986,277.957,149.865,0,0,128.092,400.827,0,0,0.0396394,0,0.9458568,9.887,2.939,3.114,0.433,2.446,-1.968,-1.989,-2.408,9906.038,0.492,10000,-1.52,10.468,-0.786,0,-0.218,3,100,0,0,0,0,0,0,0,0,5,0,0
benzyl,5,0,0,0,2,0,1,108.14,2.11,308.35,50.96,54.534,202.856,0,459.262,1,1.7,0.009691,0.0055132,0.9336015,12.879,4.604,5.994,4.91,1.102,-0.43,-1.12,-3.574,3011.315,0.026,1628.654,-1.618,9.729,-0.336,1,-0.534,3,95.658,0,0,23.132,1,0,6,6,0,8,0,0.0157203
p-t-butylstyrene(benzene1-(11-dimethylethyl)-4-ethynyl-),7,0,0,0,2,0,2,160.258,0.471,408.201,252.275,0,155.926,0,676.61,0,0,3.28e-4,0,0.9130957,21.129,5.786,6.009,0.085,4.453,-4.909,-4.859,-3.682,9906.038,0.697,5899.293,-0.778,9.038,0.049,0,0.497,3,100,0,0,0,0,0,6,6,0,12,0,0
2-butanone-methylethyl,8,0,0,0,1,1,1,72.107,3.575,269.923,224.595,45.328,0,0,382.603,0,2,0.0333992,0,0.9442579,8.516,2.12,3.184,2.426,0.29,0.479,0.324,-2.434,3681.769,0.164,2023.905,-2.259,10.666,-0.882,1,-0.849,3,92.471,0,0,27.42,1,0,0,0,0,5,0,0
diphenyl,2,0,0,0,4,2,0,318.328,3.915,593.974,0,34.166,559.808,0,1019.848,0,5,0.0150299,0,0.8249383,37.438,11.824,15.196,9.231,3.933,-4.204,-4.593,-7.034,4697.878,-0.012,2633.881,0.207,9.532,0.823,0,0.071,3,100,0,0,58.061,4,0,18,18,0,24,0,0
n-butylphenylether(benzenebutoxy-),4,0,0,0,4,0,1,150.22,1.433,410.102,203.854,0,206.248,0,640.108,0,0.75,0.0032087,0,0.8758743,18.864,5.442,5.587,1.965,3.338,-3.367,-3.835,-4.524,9906.038,0.257,5899.293,-0.409,9.117,-0.378,1,0.106,3,100,0,0,7.942,1,0,6,6,0,11,0,0
n-pentanoicacid,8,0,1,0,3,0,-1,102.133,2.072,311.195,204.499,106.696,0,0,459.399,1,2,0.0093434,0.0064268,0.9252489,10.305,3.446,5.133,3.967,1.389,-0.648,-0.589,-0.934,244.174,-0.448,137.076,-3.198,11.329,-1.047,1,-0.778,3,77.811,0,0,50.468,2,0,0,0,0,7,0,0.0195822
